Alias,ID,Games,rating,highestrating
GL.Hera,199325,5772,2800,3045
TAG+AF8-MbL+AF8-,251265,8371,2871,2955
Hearttt,582058,4948,2785,2940
wR.Sebastian,2783660,3420,2679,2915
GL.TheViper,196240,2428,2737,2911
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-Yo,197964,3975,2730,2903
wR.ACCM +AHw-AOEbuilds.com,347269,4087,2823,2892
wR.Nicov,208393,2877,2815,2885
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//0-,10710012,904,2678,2848
+AF8-Barles+AF8-,666976,3708,2789,2841
TAG+AF8-Sitaux,212721,2259,2638,2838
wR.Lucho,9423131,6277,2759,2820
Oni.Lewis,8793414,6700,2653,2817
TAG+AF8-Sora Kuma,209118,2337,2744,2807
Villese,208611,3598,2554,2807
SalzZ+AF8-Vinchester,271202,2283,2712,2803
Oni.FreakinAndy,1531083,3838,2590,2792
+AF8-LY+AF8-Daniel,265517,3872,2618,2775
GL.DauT,198035,3122,2373,2752
Dark+AF8-aoe,1407942,3763,2531,2751
SalzZ+AF8-classicpro,1754629,2781,2697,2744
wR.Capoch,409748,2618,2684,2744
TAG+AF8-Mihai06,288714,5424,2615,2738
Oni.dogao,199170,2563,2633,2734
Th+//3//Q-nh C+//3//f/9- Qu+//3//f/9-ng Tr+//3//f/9-,2660491,5395,2497,2734
BSL +AHw- Dragonstar,182749,3221,2727,2727
wR.Prisma,3176045,6060,2606,2715
mYi.Ciskhan,1136191,3574,2625,2706
+//3//f/9//3//f/9//3//f/9//3//f/9-,243287,6542,2499,2704
+//3//f/9//3//f/9-,2972505,3277,2508,2699
StonePleaseAoE,339835,6507,2591,2697
Oni.Kingstone,2776293,3742,2627,2696
Oni.doguinho,6097615,366,2560,2692
Babaorum,576919,5189,2517,2690
Oni.JorDan+AF8-AoE,2858362,2316,2572,2688
NOC +AHw- Running,256338,3920,2512,2687
wR.Nagash,2667231,2326,2339,2683
Overtaken,4632681,4756,2619,2678
Valas,628503,2688,2598,2677
KASVA,1224481,8217,2614,2675
TAG+AF8-Z40,726223,5087,2475,2674
SalzZ+AF8-AntagonisT,2589331,1977,2568,2660
Oni.F1Re,196310,6146,2512,2658
Dennis+//3//f/9-,2912198,5928,2419,2652
OS +AHw- chart,217905,2703,2587,2648
ANKR.Youpudding,11364437,1400,2517,2647
+AF8-LY+AF8-lyx,226575,2913,2485,2645
mYi.slam,614315,4157,2552,2636
DS+AF8-Ozone,2654577,14831,2383,2636
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,211351,2742,2629,2629
SalzZ+AF8-wide,3747802,5511,2566,2629
BSL +AHw- Dr.Kozmonot,3446882,2301,2447,2621
DracKeN,357795,10430,2479,2611
Virtus +AHw- Sobek,290617,2322,2455,2611
+AFs-RUS+AC0-F+AF0-Good+AF8-Game,1165138,9218,2475,2600
deaKer,3022245,7132,2373,2593
Blackheart,6440047,3699,2436,2590
NOC +AHw- Mati,230475,8383,2490,2586
Virtus +AHw- Whitecourt,3101322,1705,2379,2586
saymyname,419803,3886,2297,2578
TAG+AF8-Rayz,15214143,1249,2361,2577
DS+AF8-Halphas,2621722,2727,2537,2576
DS+AF8-Uzzi,21627109,1018,2495,2574
bruh,2135484,4259,2318,2571
Margougou,579679,2341,2478,2570
Fish,2821727,2966,2214,2566
Gabi,2444511,4849,2398,2563
MING,1966276,2395,2509,2561
ANKR.Blve,16847348,1187,2531,2560
MING,3144451,1379,2476,2560
NOC +AHw- Target331,245811,1640,2397,2559
DaddySt4rk,3884287,2553,2354,2554
NOC +AHw- Terz,573282,2720,2450,2549
RedPhosphoru,10266593,6308,2380,2549
JUBILINDO,14500794,266,2335,2549
Blve,19124429,1298,2467,2548
Oni.GoKu,1893397,1078,2427,2545
Fs.miguel,2090225,2726,2428,2541
AiM +AHw- Whocl,2309468,4115,2416,2540
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,716717,2480,2475,2537
wR.Monoz,2844691,5393,2288,2537
BSL +AHw- DOOMSTER :D,1835774,2709,2381,2536
DuDuZhu,6251969,5177,2277,2532
ThunderboltX,3169100,9741,2387,2524
OS +AHw- Sziky,14725904,7582,2321,2514
Dooidy,2594552,2584,2291,2510
wR.Monoz,17331610,1035,2327,2508
Aizen+AF8AXw-,2598137,817,2178,2508
MING,10336997,672,2406,2507
JackK,452924,3162,2358,2507
RoR +AHw- Vodka+AF8-L+AF8-,599689,1841,2354,2504
wR.Fedex,239238,1191,2399,2503
DS+AF8-LobodeLaNieve,2920057,1441,2373,2502
OS +AHw- NeoZz,19867271,385,2419,2501
OS +AHw- Emil :D,862991,8172,2267,2496
+//3//f/9//3//f/9-,10507607,1579,2492,2492
+AF8-Tomate,77944,5535,2438,2492
mentalist+AF8-,9579739,1762,2267,2490
DS+AF8-LobodeLaNieve,3317764,1488,2481,2489
Andre+AF8-2i,635884,13886,2348,2488
HOANG,459658,11474,2287,2482
l3ss,9087865,478,2480,2480
Survivalist,247224,13070,2398,2480
+AF8-Hallis,250103,3613,2343,2477
Margougou,15892085,105,2455,2476
GKT+AF8-Cloud,199419,4273,2232,2470
Mullisaukko,1885671,2681,2306,2469
Darknoob,458029,8283,2110,2463
Cyclops,907464,2220,2377,2462
TAG+AF8-Rayz,11457005,2058,2450,2461
Nili+AF8-AoE,197751,2901,2143,2460
21,10309103,3739,2290,2459
Ghulamo,5188554,2565,2283,2456
mordicchiotto,2532568,5323,2353,2455
m0re,279036,4684,2434,2454
Nahue05,2826785,4312,2287,2453
DK +AHw- Kongen+AF8-42,725502,6964,2197,2449
White Knight,18317143,791,2416,2446
Nezzar,2274841,2308,2297,2446
DS+AF8-Biry,4358030,445,2432,2442
C ,16550341,1605,2416,2440
GLX+AF8-Rusher,788320,6662,2272,2437
c.salette,1920807,6763,2196,2434
CxxxxTo,21914183,571,2433,2433
Belisarius,22614653,158,2419,2432
DK +AHw- Good+AF8-luck,689666,2979,2280,2430
Socksyy,949573,1970,2267,2429
Gordin Hood,6779041,3272,2365,2428
ZoD+AF8-MuMMy,19216875,598,2265,2428
DS+AF8-Combitooo,5984120,2934,2412,2420
RoR +AHw- Rise,210388,3415,2306,2419
+AF8-TieuQuy,2593750,5155,2298,2417
HD+AF8-Mauricioae13,9449579,1524,2271,2417
DS+AF8-Levi,2821779,4034,2227,2417
Noszombie,322534,5416,2270,2415
Fs.Alive,1629889,4550,2239,2411
T90Official,197930,4123,2296,2410
emalius2,516841,2511,2239,2406
Dr. Willy+ACEAIQAh-,21733994,996,2228,2405
Rodrixs,11440407,2395,2313,2402
DS+AF8-VarVa,4129359,3398,2400,2400
OS +AHw- Wade77,4933932,2546,2331,2394
Falcao,1829213,2031,2202,2392
Smokey,1945281,734,2089,2391
sueta,5251192,1560,2146,2389
TheAntman,339191,1880,2234,2386
JonSlow,208269,8598,2230,2386
Paracetamol,6040432,913,2341,2385
MrPlanner,4362836,1631,2298,2385
chaos+AF8-2+AF8-win,4012008,2776,2224,2384
Draconian,622641,2617,2034,2383
Ulaykab,22305591,135,2377,2381
kei,1762409,4991,2176,2379
Chelo,2294850,4541,1968,2376
OS +AHw- shiXo.+ACM-,1137086,10787,2284,2371
Stevenash+AF8-,15174925,1080,2086,2371
Light Cav OP,178430,7105,2196,2369
Argh,2274072,3824,2156,2367
LE +AHw- Dimo,3216208,2646,2255,2365
RmcooTheHater+AF8-,541127,3317,1983,2363
HD+AF8-Mauricioae13,19831974,1463,2263,2361
Ny4,2429762,2539,2131,2357
The Illusionist,1389164,3601,2085,2353
keenov,4105424,2654,2105,2352
+AFs-LW+AF0- Faneth,2482098,1745,2318,2349
Carbo,2171446,5084,2240,2349
Dobbs351,246423,5916,2169,2348
