name,skill,games,online
DjSapsan,875,0,4
GL.TheViper,1400,5000,2
[aM]MbL40C,1250,5000,0.25
[aM] Hearttt,1388.5,0,0
[aM] Hera,1400,0,0
Modri,1200,0,0
__TheMbL__,1250,0,0.25
Villese,1348,0,0
Gamdom.ACCM |AOEBuilds.com,1340.5,0,0
GL.JorDan_AoE,1350,0,0
猪八戒 (aka Vivi),1328.5,0,0
Yo,1326.5,0,0
Fox.Mihai06,1325,0,0
___MbL___,1250,0,0.2
SalzZ_Vinchester,1200,0,0
mYi.Sitaux,1316.5,0,0
NotMbL,1313,0,0
_Barles_,1299,0,0
doguinhoCaRaMeLo_xD_br_2k (aka dogao),1296.5,0,0
mYi.Daniel,1293.5,0,0
dogao,1291,0,0
mYi.FreakinAndy,1288,0,0
Running,1281,0,0
Valas,1276.5,0,0
mYi.Sitaux,1271,0,0
GL.DauT,1265,0,0
Fox.Sebastian (aka Sebastian2002),1264.5,0,0
[aM] Nicov,1260,0,0
IamChris,1251,0,0
Modri,1200,0,0
GL.TaToH,1300,0,0
SalzZ_classicpro,1248.5,0,0
ox.Margougou,1247.5,0,0
TimeToEnjoy (aka Chris),1246.5,0,0
slam,1245.5,0,0
Capoch,1244,0,0
miguel,1242,0,0
Combi | KingstoNe,1238,0,0
El_Matador,1235,0,0
Combi | Uzzi,1235,0,0
saymyname,1234.5,0,0
求求你不要来伤害我 (aka Vivi),1234,0,0
deaKerceno,1233.5,0,0
MING,1231.5,0,0
Nagash (aka Capoch),1230.5,0,0
Babaorum,1229.5,0,0
bruh,1226.5,0,0
3D!Dark,1219.5,0,0
DracKeN,1217.5,0,0
^^anomeL (aka Vinch),1216.5,0,0
ड्रैगनस्टार (aka Dragonstar),1215.5,0,0
Running,1213,0,0
DreamCl (aka Whocl),1210,0,0
IW.Kasva,1208,0,0
导？倒! (aka Bad Koala),1206.5,0,0
Ganji,1201,0,0
Son Kokun (aka Fedex),1200.5,0,0
SubC (aka Overtaken),1194.5,0,0
HR Sobek,1192,0,0
´Lucky Rox,1186,0,0
HOWL.Kozmonot (aka Dr.Kozmonot),1186,0,0
MING,1182.5,0,0
Lukas,1182,0,0
repard,1179.5,0,0
_EMA_003 (aka Lyx),1176.5,0,0
stefan,1174,0,0
Fedex,1171,0,0
twitch.tv/st4rk_,1170,0,0
nisaY_v2 (aka Yasin),1169.5,0,0
JackK,1169.5,0,0
[KGB] F1Re,1168.5,0,0
mentalist_,1166.5,0,0
The_Dragonstar,1165.5,0,0
Target331,1164.5,0,0
DS_Twigg,1162.5,0,0
Keyilinepayma (aka z40305125),1162,0,0
Fish,1161,0,0
SongSong,1160.5,0,0
_Hallis,1160,0,0
勇敢熊熊 (aka iBUYPOWER),1159.5,0,0
DS_Biry,1159,0,0
Howl.Cyclops,1155.5,0,0
DS_Biry,1154,0,0
旋律 (aka XuanLv),1152.5,0,0
XEVER | Prisma09,1152,0,0
_Tomate,1151.5,0,0
macluffy,1150.5,0,0
Combi | AcidKid (aka Lobo),1148,0,0
xan,1147,0,0
Combi | 7Swords (aka Uzzi),1147,0,0
GL.Nili,1146.5,0,0
Ozone,1145.5,0,0
JBT (aka Jibatong),1143,0,0
SonyToprano,1143,0,0
chart,1142,0,0
salsicciotto1999,1140,0,0
[KGB] Alive,1139.5,0,0
ESP LaaaaaN,1138.5,0,0
StonePleaseAoE,1138,0,0
deaKer,1137,0,0
